Administrative Info;;;;;;;Taxonomy / Path;;;;;
Key;Possible Values;Match Partner KEY/Value;Private/
Public;Price (assumed to be CPM);Release Date;BK 
Category ID;Level1;Level2;Level3;Level4;Description;Notes/Comments
;;;;;;;;;;;OGURY data is unique, high quality, directly ingested mobile-specific data. We collect this data using a proprietary algorithm crunching billions of data points from over an ever-growing 150M+ active user base.;Top Level Description
;;;public;;2015-10-18;TBD; Certified Intenders;;;;OGURY Certified Intender data is extracted from proprietary algorithmic observation of mobile behavior and signals clear consumer intent to purchase;Navigational Node
;;;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;;;Users who have shown intent to purchase Automotive related products/services";
;;;public;;2015-10-18;TBD; Certified Intenders;Automotive;Makes;;Users who have shown intent to purchase Automotive related products/services by Make;Navigational Node
og003;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Abarth;Users who have shown intent to purchase Abarth related products/services;
og004;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Acura;Users who have shown intent to purchase Acura related products/services;
og005;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Aixam;Users who have shown intent to purchase Aixam related products/services;
og006;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Alfa Romeo;Users who have shown intent to purchase Alfa Romeo related products/services;
og007;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;American Motors;Users who have shown intent to purchase American Motors related products/services;
og008;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Ariel;Users who have shown intent to purchase Ariel related products/services;
og009;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Aston Martin;Users who have shown intent to purchase Aston Martin related products/services;
og010;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Auburn;Users who have shown intent to purchase Auburn related products/services;
og011;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Audi;Users who have shown intent to purchase Audi related products/services;
og012;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Austin Healey;Users who have shown intent to purchase Austin Healey related products/services;
og013;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Bentley;Users who have shown intent to purchase Bentley related products/services;
og014;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;BMW;Users who have shown intent to purchase BMW related products/services;
og015;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Bugatti;Users who have shown intent to purchase Bugatti related products/services;
og016;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Buick;Users who have shown intent to purchase Buick related products/services;
og017;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Cadillac;Users who have shown intent to purchase Cadillac related products/services;
og018;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Chevrolet;Users who have shown intent to purchase Chevrolet related products/services;
og019;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Chrysler;Users who have shown intent to purchase Chrysler related products/services;
og020;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Citroen;Users who have shown intent to purchase Citroen related products/services;
og021;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Dacia;Users who have shown intent to purchase Dacia related products/services;
og022;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Daewoo;Users who have shown intent to purchase Daewoo related products/services;
og023;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Daihatsu;Users who have shown intent to purchase Daihatsu related products/services;
og024;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Datsun;Users who have shown intent to purchase Datsun related products/services;
og025;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;De Tomaso;Users who have shown intent to purchase De Tomaso related products/services;
og026;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;DeLorean/DMC;Users who have shown intent to purchase DeLorean/DMC related products/services;
og027;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;DeSoto;Users who have shown intent to purchase DeSoto related products/services;
og028;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Dodge;Users who have shown intent to purchase Dodge related products/services;
og029;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Eagle;Users who have shown intent to purchase Eagle related products/services;
og030;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Ferrari;Users who have shown intent to purchase Ferrari related products/services;
og031;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Fiat;Users who have shown intent to purchase Fiat related products/services;
og032;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Ford;Users who have shown intent to purchase Ford related products/services;
og033;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Geo;Users who have shown intent to purchase Geo related products/services;
og034;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;GMC;Users who have shown intent to purchase GMC related products/services;
og035;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Holden;Users who have shown intent to purchase Holden related products/services;
og036;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Honda;Users who have shown intent to purchase Honda related products/services;
og037;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Hummer;Users who have shown intent to purchase Hummer related products/services;
og038;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Hyundai;Users who have shown intent to purchase Hyundai related products/services;
og039;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Infiniti;Users who have shown intent to purchase Infiniti related products/services;
og040;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;International;Users who have shown intent to purchase International related products/services;
og041;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Isuzu;Users who have shown intent to purchase Isuzu related products/services;
og042;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Jaguar;Users who have shown intent to purchase Jaguar related products/services;
og043;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Jeep;Users who have shown intent to purchase Jeep related products/services;
og044;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Kia;Users who have shown intent to purchase Kia related products/services;
og045;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Koenigsegg;Users who have shown intent to purchase Koenigsegg related products/services;
og046;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lada;Users who have shown intent to purchase Lada related products/services;
og047;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lamborghini;Users who have shown intent to purchase Lamborghini related products/services;
og048;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lancia;Users who have shown intent to purchase Lancia related products/services;
og049;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Land Rover;Users who have shown intent to purchase Land Rover related products/services;
og050;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lexus;Users who have shown intent to purchase Lexus related products/services;
og051;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lincoln;Users who have shown intent to purchase Lincoln related products/services;
og052;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Lotus;Users who have shown intent to purchase Lotus related products/services;
og053;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Maserati;Users who have shown intent to purchase Maserati related products/services;
og054;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Maybach;Users who have shown intent to purchase Maybach related products/services;
og055;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Mazda;Users who have shown intent to purchase Mazda related products/services;
og056;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;McLaren;Users who have shown intent to purchase McLaren related products/services;
og057;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Mercedes Benz;Users who have shown intent to purchase Mercedes Benz related products/services;
og058;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Mercury;Users who have shown intent to purchase Mercury related products/services;
og059;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;MINI;Users who have shown intent to purchase MINI related products/services;
og060;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Mitsubishi;Users who have shown intent to purchase Mitsubishi related products/services;
og061;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Morgan;Users who have shown intent to purchase Morgan related products/services;
og062;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Nash;Users who have shown intent to purchase Nash related products/services;
og063;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Nissan;Users who have shown intent to purchase Nissan related products/services;
og064;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Oldsmobile;Users who have shown intent to purchase Oldsmobile related products/services;
og065;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Opel;Users who have shown intent to purchase Opel related products/services;
og066;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Pagani;Users who have shown intent to purchase Pagani related products/services;
og067;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Panoz;Users who have shown intent to purchase Panoz related products/services;
og068;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Perodua;Users who have shown intent to purchase Perodua related products/services;
og069;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Peugeot;Users who have shown intent to purchase Peugeot related products/services;
og070;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Plymouth;Users who have shown intent to purchase Plymouth related products/services;
og071;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Pontiac;Users who have shown intent to purchase Pontiac related products/services;
og072;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Porsche;Users who have shown intent to purchase Porsche related products/services;
og073;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Proton;Users who have shown intent to purchase Proton related products/services;
og074;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Ram;Users who have shown intent to purchase Ram related products/services;
og075;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Renault;Users who have shown intent to purchase Renault related products/services;
og076;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Rolls Royce;Users who have shown intent to purchase Rolls Royce related products/services;
og077;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Saab;Users who have shown intent to purchase Saab related products/services;
og078;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Saleen;Users who have shown intent to purchase Saleen related products/services;
og079;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Saturn;Users who have shown intent to purchase Saturn related products/services;
og080;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Scion;Users who have shown intent to purchase Scion related products/services;
og081;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;SEAT;Users who have shown intent to purchase SEAT related products/services;
og082;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Shelby;Users who have shown intent to purchase Shelby related products/services;
og083;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Skoda;Users who have shown intent to purchase Skoda related products/services;
og084;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Smart;Users who have shown intent to purchase Smart related products/services;
og085;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Spyker;Users who have shown intent to purchase Spyker related products/services;
og086;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Sterling;Users who have shown intent to purchase Sterling related products/services;
og087;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Studebaker;Users who have shown intent to purchase Studebaker related products/services;
og088;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Subaru;Users who have shown intent to purchase Subaru related products/services;
og089;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Suzuki;Users who have shown intent to purchase Suzuki related products/services;
og090;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Tesla;Users who have shown intent to purchase Tesla related products/services;
og091;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Toyota;Users who have shown intent to purchase Toyota related products/services;
og092;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Triumph;Users who have shown intent to purchase Triumph related products/services;
og093;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Volkswagen;Users who have shown intent to purchase Volkswagen related products/services;
og094;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Volvo;Users who have shown intent to purchase Volvo related products/services;
og095;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Willys;Users who have shown intent to purchase Willys related products/services;
og096;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Automotive;Makes;Yugo;Users who have shown intent to purchase Yugo related products/services;
;;;;;2015-10-18;TBD; Certified Intenders;Travel;;;Users who have shown intent to purchase Travel related services;Navigational Node
og098;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Travel;Air Travel;;Users who have shown intent to purchase Air Travel related services;
og099;1;ADID;public;$1.50;2015-10-18;TBD; Certified Intenders;Travel;Hotels & Lodging;;Users who have shown intent to purchase Hotel & Lodging related services;
;;;public;;2015-10-18;TBD; Demographic Insights;;;;OGURY Demographic Insights are extracted from device level data and provide high confidence demographic targeting;Navigational Node
;;;public;;2015-10-18;TBD; Demographic Insights;Languages;;;High confidence language insights;Navigational Node
og158;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Arabic Speakers;;High confidence Arabic Speakers;
og159;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Chinese Speakers;;High confidence Chinese Speakers;
og160;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;French Speakers;;High confidence French Speakers;
og161;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;German Speakers;;High confidence German Speakers;
og162;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Hindi Speakers;;High confidence Hindi Speakers;
og163;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Italian Speakers;;High confidence Italian Speakers;
og164;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Japanese Speakers;;High confidence Japanese Speakers;
og165;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Korean Speakers;;High confidence Korean Speakers;
og166;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Polish Speakers;;High confidence Polish Speakers;
og167;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Portuguese Speakers;;High confidence Portuguese Speakers;
og168;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Russian Speakers;;High confidence Russian Speakers;
og169;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Spanish Speakers;;High confidence Spanish Speakers;
og170;1;ADID;public;$1.25;2015-10-18;TBD; Demographic Insights;Languages;Vietnamese Speakers;;High confidence Vietnamese Speakers;
;;;public;;2015-10-18;TBD;App Ownership;;;;Device level data indicating high app ownership grouped by categories for lifestyle based targeting;Navigational Node
;;;public;;2015-10-18;TBD;App Ownership;Apps;;;Users with higher than average installed Apps by genre;Navigational Node
og173;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Books & Reference;;Users with higher than average installed Books & Reference apps;
og174;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Business;;Users with higher than average installed Business apps;
og175;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Comics;;Users with higher than average installed Comics apps;
og176;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Communication;;Users with higher than average installed Communication apps;
og177;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Education;;Users with higher than average installed Education apps;
og178;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Entertainment;;Users with higher than average installed Entertainment apps;
og179;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Finance;;Users with higher than average installed Finance apps;
og180;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Health & Fitness;;Users with higher than average installed Health & Fitness apps;
og181;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Libraries & Demo;;Users with higher than average installed Libraries & Demo apps;
og182;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Lifestyle;;Users with higher than average installed Lifestyle apps;
og183;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Media & Video;;Users with higher than average installed Media & Video apps;
og184;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Medical;;Users with higher than average installed Medical apps;
og185;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Music & Audio;;Users with higher than average installed Music & Audio apps;
og186;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;News & Magazines;;Users with higher than average installed News & Magazines apps;
og187;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Personalization;;Users with higher than average installed Personalization apps;
og188;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Photography;;Users with higher than average installed Photography apps;
og189;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Productivity;;Users with higher than average installed Productivity apps;
og190;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Shopping;;Users with higher than average installed Shopping apps;
og191;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Social;;Users with higher than average installed Social apps;
og192;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Sports;;Users with higher than average installed Sports apps;
og193;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Tools;;Users with higher than average installed Tools apps;
og194;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Transportation;;Users with higher than average installed Transportation apps;
og195;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Travel & Local;;Users with higher than average installed Travel & Local apps;
og196;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Weather;;Users with higher than average installed Weather apps;
;;;public;;2015-10-18;TBD;App Ownership;Games;;;Users with higher than average installed Games by genre;Navigational Node
og198;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Action;;Users with higher than average installed Action games;
og199;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Adventure;;Users with higher than average installed Adventure games;
og200;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Arcade;;Users with higher than average installed Arcade games;
og201;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Board;;Users with higher than average installed Board games;
og202;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Card;;Users with higher than average installed Card games;
og204;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Casual;;Users with higher than average installed Casual games;
og205;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Educational;;Users with higher than average installed Educational games;
og206;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Family;;Users with higher than average installed Family games;
og207;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Music;;Users with higher than average installed Music games;
og208;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Puzzle;;Users with higher than average installed Puzzle games;
og209;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Racing;;Users with higher than average installed Racing games;
og210;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Role Playing;;Users with higher than average installed Role Playing games;
og211;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Simulation;;Users with higher than average installed Simulation games;
og212;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Sports Games;;Users with higher than average installed Sports Games games;
og213;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Strategy;;Users with higher than average installed Strategy games;
og214;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Trivia;;Users with higher than average installed Trivia games;
og215;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Word;;Users with higher than average installed Word games;
;;;public;;2015-10-18;TBD; Brand Affinity;;;;OGURY Brand Affinity is calculated using a proprietary ranking based on deterministic user behaviour and interaction (visits, frequency, volume, etc..) with each brand.;Navigational Node
og217;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;1-800-Flowers;;;Users who have shown high brand affinity with 1-800-Flowers;
og218;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;adidas;;;Users who have shown high brand affinity with adidas;
og219;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Adobe;;;Users who have shown high brand affinity with Adobe;
og220;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Advance Auto Parts;;;Users who have shown high brand affinity with Advance Auto Parts;
og221;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Aeropostale;;;Users who have shown high brand affinity with Aeropostale;
og222;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;AliExpress;;;Users who have shown high brand affinity with AliExpress;
og223;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Amazon;;;Users who have shown high brand affinity with Amazon;
og224;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Airlines;;;Users who have shown high brand affinity with American Airlines;
og225;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Eagle Outfitters;;;Users who have shown high brand affinity with American Eagle Outfitters;
og226;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Express;;;Users who have shown high brand affinity with American Express;
